CO-BRANCH;OFFICE;PRODUCT;GROUP;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26
431 - BENGKULU;432 - KCP CURUP;Deposito;TD;43.342.272.285;42.729.393.434;42.112.885.104;42.025.345.910;42.222.408.769;39.879.441.644;38.812.388.298;39.530.765.180;38.497.872.499
431 - BENGKULU;432 - KCP CURUP;Giro;CASA;4.006.988.672;8.078.882.441;8.089.119.107;7.858.248.220;3.752.709.652;3.078.907.487;3.783.039.099;7.724.312.896;8.217.257.309
431 - BENGKULU;432 - KCP CURUP;Tabungan;CASA;74.871.839.441;74.396.259.406;72.031.277.488;74.195.487.907;71.565.312.258;71.149.978.495;73.106.014.208;74.968.884.096;75.640.480.429
431 - BENGKULU;441 - JAMBI;Deposito;TD;24.361.928.548;25.106.882.090;23.632.249.641;23.509.542.935;24.015.235.155;24.084.790.998;23.276.213.676;26.534.151.850;26.457.043.424
431 - BENGKULU;441 - JAMBI;Giro;CASA;5.314.401.726;4.940.001.460;5.214.848.058;7.457.601.994;6.422.655.253;8.180.806.692;8.175.455.940;6.858.032.475;6.769.960.705
431 - BENGKULU;441 - JAMBI;Tabungan;CASA;66.198.554.151;64.788.698.610;62.581.579.425;62.674.662.099;62.820.045.928;63.246.519.866;64.198.520.364;63.724.864.499;63.634.909.625
431 - BENGKULU;442 - KCP MUARA BUNGO;Deposito;TD;12.556.986.745;12.614.830.293;12.318.162.044;12.189.062.674;12.656.653.718;13.219.953.688;12.863.378.091;13.056.702.235;13.709.888.345
431 - BENGKULU;442 - KCP MUARA BUNGO;Giro;CASA;527.023.057;290.135.134;396.688.251;359.485.414;609.140.579;499.605.145;699.996.910;562.249.178;594.154.880
431 - BENGKULU;442 - KCP MUARA BUNGO;Tabungan;CASA;28.611.117.916;28.328.744.352;28.182.967.902;27.879.608.968;27.317.690.100;27.426.440.887;30.107.830.999;29.616.012.309;28.075.679.552
431 - BENGKULU;473 - KCP MANNA BENGKULU;Deposito;TD;13.318.660.191;12.431.481.432;12.366.481.432;12.663.481.432;11.805.381.432;11.840.381.432;13.024.381.432;12.710.152.468;12.879.652.468
431 - BENGKULU;473 - KCP MANNA BENGKULU;Giro;CASA;1.243.623.988;1.355.651.388;882.408.988;1.048.101.488;1.176.023.988;1.320.906.988;1.471.343.488;1.549.978.488;1.167.264.988
431 - BENGKULU;473 - KCP MANNA BENGKULU;Tabungan;CASA;43.471.292.080;42.313.460.642;41.975.019.463;42.859.948.653;42.925.378.335;43.672.480.315;45.670.954.600;47.162.084.291;46.526.084.158
431 - BENGKULU;474 - KCP ARGA MAKMUR;Deposito;TD;17.318.927.554;17.161.402.231;17.773.922.715;18.720.334.008;18.824.687.386;18.195.012.407;18.938.498.113;19.022.513.085;19.871.900.926
431 - BENGKULU;474 - KCP ARGA MAKMUR;Giro;CASA;1.181.340.931;561.770.872;575.110.093;312.481.351;401.979.846;445.943.549;419.404.355;732.571.738;291.693.710
431 - BENGKULU;474 - KCP ARGA MAKMUR;Tabungan;CASA;32.913.542.897;33.050.819.804;31.162.225.092;32.592.213.042;33.198.868.029;34.647.641.064;34.586.695.252;34.045.106.651;33.378.876.470
482 - MEDAN BARU;214 - KCP BINJAI;Deposito;TD;22.655.177.968;20.253.692.726;21.035.591.476;21.219.970.922;22.374.025.175;20.295.591.895;20.194.753.814;20.933.729.577;20.619.544.947
482 - MEDAN BARU;214 - KCP BINJAI;Giro;CASA;442.174.382;428.984.672;734.561.467;384.245.461;375.353.084;624.791.292;535.036.882;488.765.898;504.094.200
482 - MEDAN BARU;214 - KCP BINJAI;Tabungan;CASA;31.590.565.097;30.681.122.808;30.343.242.460;30.609.325.016;30.019.435.836;29.957.118.838;31.604.018.769;31.183.085.062;31.208.859.635
482 - MEDAN BARU;251 - PEMATANG SIANTAR;Deposito;TD;7.433.584.524;9.113.564.808;6.621.985.754;6.365.584.407;6.610.615.839;6.709.312.920;7.113.014.949;7.713.454.083;7.528.862.285
